,Baseline_Replan,Baseline_Rescue,Baseline_Emergency_stop,Baseline_Close_1,Baseline_Close_2,Baseline_len,Baseline_h_len,Baseline_Robot_replan,Baseline_accuracy,Baseline_runtime,AI_Replan,AI_Rescue,AI_Emergency_stop,AI_Close_1,AI_Close_2,AI_len,AI_h_len,AI_Robot_replan,AI_accuracy,AI_runtime,AINN_Replan,AINN_Rescue,AINN_Emergency_stop,AINN_Close_1,AINN_Close_2,AINN_len,AINN_h_len,AINN_Robot_replan,AINN_accuracy,AINN_runtime
0,4.0,0.0,0.0,10.0,14.0,134.0,35.0,8.0,0.0,0.2840701937675476,0.0,0.0,0.0,2.0,3.0,179.0,35.0,33.0,0.989010989010989,1.7422852010437937,1.0,0.0,0.0,5.0,5.0,196.0,35.08,52.0,0.9010043041606887,1.61172793003229
1,30.0,0.0,2.0,80.0,21.0,168.0,42.48,13.0,0.0,0.0989367411686824,0.0,0.0,0.0,1.0,1.0,188.0,34.76,18.0,0.9907887161773172,2.5700659354527793,1.0,0.0,0.0,3.0,5.0,188.0,34.76,33.0,0.8991477272727273,2.0615257927865693
2,13.0,0.0,5.0,29.0,18.0,160.0,35.48,10.0,0.0,0.2140146255493164,0.0,0.0,0.0,3.0,3.0,190.0,34.72,31.0,0.9897260273972602,1.2266842780574676,0.0,0.0,0.0,5.0,5.0,206.0,35.92,38.0,0.9166666666666666,1.7861795739123696
3,5.0,0.0,1.0,11.0,6.0,142.0,34.36,8.0,0.0,0.331964373588562,0.0,0.0,0.0,2.0,2.0,151.0,33.52,17.0,0.9932795698924731,0.5926916879766128,1.0,0.0,0.0,4.0,5.0,153.0,33.6,35.0,0.9081967213114754,0.648513582774571
4,10.0,0.0,3.0,20.0,13.0,146.0,35.88,7.0,0.0,0.13836077281406947,0.0,0.0,0.0,3.0,3.0,223.0,35.52,35.0,0.9866295264623955,2.0613032272883824,2.0,0.0,0.0,6.0,9.0,221.0,35.6,57.0,0.9122807017543859,2.4144575344888786
5,15.0,0.0,3.0,38.0,14.0,164.0,36.52,12.0,0.0,0.2538493474324544,0.0,0.0,0.0,3.0,4.0,177.0,34.12,19.0,0.9918176504967855,1.3286385285226923,0.0,0.0,0.0,4.0,6.0,178.0,34.12,37.0,0.9033189033189033,0.9854123399064347
6,20.0,0.0,3.0,47.0,24.0,158.0,34.76,10.0,0.0,0.19839115142822267,0.0,0.0,0.0,4.0,4.0,197.0,31.76,29.0,0.9923469387755102,1.571064225558577,3.0,0.0,0.0,8.0,6.0,211.0,33.24,42.0,0.8975109809663251,1.4237763768150693
7,11.0,0.0,1.0,26.0,17.0,154.0,34.68,10.0,0.0,0.28743221759796145,0.0,0.0,0.0,2.0,4.0,206.0,36.84,30.0,0.9893673577884105,1.4480955203374226,0.0,0.0,0.0,3.0,4.0,175.0,36.8,37.0,0.9048239895697523,1.6792049923458614
8,18.0,0.0,1.0,40.0,22.0,158.0,37.84,13.0,0.0,0.3989415352161114,0.0,0.0,0.0,5.0,5.0,163.0,35.92,30.0,0.9918651946542708,1.2833453973134359,0.0,0.0,0.0,5.0,5.0,164.0,35.92,31.0,0.9081779053084649,1.0677963995164441
9,7.0,0.0,4.0,22.0,19.0,158.0,35.72,9.0,0.0,0.3228459358215332,0.0,0.0,0.0,7.0,8.0,208.0,34.04,41.0,0.994475138121547,1.1354098494459943,0.0,0.0,0.0,6.0,6.0,214.0,34.0,45.0,0.9210526315789473,1.6180328369140624
10,4.0,0.0,2.0,11.0,7.0,140.0,36.92,7.0,0.0,0.14059853553771973,0.0,0.0,0.0,1.0,1.0,151.0,36.0,15.0,0.9870609981515711,1.460076872507731,1.0,0.0,0.0,5.0,4.0,218.0,35.96,36.0,0.9227642276422764,2.1162638200653925
11,23.0,0.0,3.0,48.0,17.0,176.0,40.88,14.0,0.0,0.19637903145381383,1.0,0.0,0.0,6.0,5.0,189.0,35.68,40.0,0.9893557422969188,1.4281794428825378,2.0,0.0,0.0,8.0,10.0,191.0,35.8,42.0,0.9089692101740294,1.514077623685201
12,18.0,0.0,4.0,42.0,19.0,158.0,37.56,9.0,0.0,0.13017752435472277,0.0,0.0,0.0,4.0,5.0,171.0,34.88,36.0,0.9863013698630136,1.0514023900032043,1.0,0.0,0.0,6.0,6.0,176.0,34.88,29.0,0.9128630705394191,0.9512879684053618
13,50.0,1.0,6.0,145.0,48.0,242.0,49.64,32.0,0.0,0.1518215909600258,1.0,0.0,0.0,8.0,8.0,168.0,36.12,50.0,0.9882352941176471,0.713583550453186,1.0,0.0,0.0,8.0,10.0,187.0,36.2,53.0,0.8944519621109608,0.8807128735308377
14,17.0,0.0,4.0,40.0,21.0,168.0,37.72,14.0,0.0,0.20419301305498397,0.0,0.0,0.0,6.0,6.0,204.0,36.16,42.0,0.9857534246575342,1.4921471221106393,1.0,0.0,0.0,4.0,3.0,212.0,36.04,28.0,0.9077340569877883,2.920983978680202
15,44.0,3.0,2.0,69.0,16.0,290.0,51.92,44.0,0.0,0.6369277130473744,0.0,0.0,0.0,2.0,2.0,160.0,33.84,19.0,0.9936948297604036,1.3324697896053916,1.0,0.0,0.0,2.0,3.0,161.0,33.84,26.0,0.9160186625194401,1.331197426869319
16,26.0,0.0,10.0,62.0,33.0,194.0,37.2,14.0,0.0,0.18076227392469132,0.0,0.0,0.0,4.0,4.0,202.0,35.72,29.0,0.9905292479108635,2.5577279945899702,0.0,0.0,0.0,5.0,7.0,200.0,35.72,37.0,0.9145183175033921,1.8251726627349854
17,15.0,0.0,4.0,22.0,15.0,166.0,38.36,11.0,0.0,0.3010652282021262,0.0,0.0,0.0,7.0,7.0,216.0,36.12,45.0,0.9875338753387534,1.4524091137780084,2.0,0.0,0.0,11.0,12.0,222.0,36.12,54.0,0.9062087186261559,0.9994763798183866
18,181.0,13.0,7.0,663.0,326.0,480.0,171.72,87.0,0.0,0.011850241957039669,0.0,0.0,0.0,7.0,7.0,218.0,36.52,49.0,0.9866524292578751,1.6080062681314897,0.0,0.0,0.0,7.0,8.0,218.0,36.52,64.0,0.9203187250996016,1.7735141851007938
19,17.0,0.0,2.0,32.0,12.0,154.0,35.56,10.0,0.0,0.17652416229248047,0.0,0.0,0.0,2.0,2.0,166.0,34.2,27.0,0.9880239520958084,2.0770612910941795,0.0,0.0,0.0,2.0,3.0,175.0,34.12,30.0,0.8916544655929722,1.7472539981206259
20,14.0,0.0,5.0,25.0,20.0,159.0,36.8,10.0,0.0,0.17402076721191406,1.0,0.0,0.0,4.0,4.0,199.0,35.36,23.0,0.9886941775014132,1.753663736840953,1.0,0.0,0.0,5.0,7.0,217.0,35.32,37.0,0.8938547486033519,2.1793996256750985
21,5.0,0.0,2.0,14.0,10.0,136.0,36.6,6.0,0.0,0.013017773628234863,0.0,0.0,0.0,3.0,3.0,209.0,36.48,33.0,0.992821645499724,1.7463714137221829,0.0,0.0,0.0,5.0,6.0,208.0,36.48,38.0,0.9053497942386831,1.5877403648276078
22,21.0,0.0,3.0,44.0,31.0,178.0,38.84,15.0,0.0,0.39886223475138344,1.0,0.0,0.0,4.0,4.0,183.0,32.52,30.0,0.9900805951642901,1.572027309735616,0.0,0.0,0.0,5.0,7.0,179.0,32.56,40.0,0.9075500770416025,1.2366548418998717
23,79.0,5.0,7.0,165.0,88.0,310.0,65.6,46.0,0.0,0.20884864744932755,0.0,0.0,0.0,4.0,5.0,218.0,36.16,35.0,0.9905080960357342,2.1323685032980784,1.0,0.0,0.0,4.0,8.0,218.0,36.44,51.0,0.8925294888597641,2.714990910361795
24,6.0,0.0,2.0,12.0,8.0,125.0,34.92,5.0,0.0,0.012496662139892579,1.0,0.0,0.0,8.0,7.0,216.0,34.84,51.0,0.9864483342744212,1.3808035710278679,5.0,0.0,1.0,11.0,7.0,224.0,35.2,51.0,0.9043824701195219,1.9580833958644492
25,24.0,0.0,3.0,63.0,31.0,186.0,40.48,16.0,0.0,0.2816494554281235,0.0,0.0,0.0,4.0,6.0,192.0,36.12,38.0,0.9905397885364496,1.0799271495718705,1.0,0.0,0.0,8.0,11.0,219.0,36.28,50.0,0.8994565217391305,1.0263303518295288
26,18.0,0.0,5.0,31.0,22.0,160.0,36.6,9.0,0.0,0.1839813921186659,1.0,0.0,0.0,6.0,5.0,181.0,34.68,34.0,0.9875986471251409,1.3153859166538013,1.0,0.0,0.0,5.0,6.0,180.0,34.88,41.0,0.9034013605442177,1.1577371911304752
27,437.0,38.0,2.0,1571.0,243.0,870.0,295.96,190.0,0.0,0.09936568486063103,1.0,0.0,0.0,6.0,6.0,185.0,36.4,37.0,0.9857142857142858,1.7121212740202207,2.0,0.0,0.0,8.0,7.0,208.0,36.36,55.0,0.8873239436619719,2.119117996909402
28,6.0,0.0,2.0,11.0,5.0,140.0,36.48,7.0,0.0,0.13389904158455984,0.0,0.0,0.0,0.0,0.0,187.0,35.72,11.0,0.9887196841511562,4.600525400855324,7.0,0.0,2.0,9.0,6.0,171.0,36.08,43.0,0.8915032679738563,1.576884901800821
29,9.0,0.0,5.0,20.0,10.0,144.0,34.08,5.0,0.0,0.03436675071716309,0.0,0.0,0.0,2.0,2.0,158.0,34.0,16.0,0.9929305912596401,1.339532420039177,0.0,0.0,0.0,2.0,2.0,158.0,34.0,18.0,0.9114331723027376,1.9639045000076294
30,6.0,0.0,2.0,30.0,12.0,144.0,33.56,10.0,0.0,0.1921454906463623,0.0,0.0,0.0,1.0,2.0,175.0,33.32,20.0,0.9900990099009901,1.7425604462623596,0.0,0.0,0.0,3.0,3.0,192.0,33.36,29.0,0.9089506172839507,2.20505690574646
31,9.0,0.0,2.0,27.0,13.0,146.0,35.72,8.0,0.0,0.37881872057914734,0.0,0.0,0.0,1.0,3.0,178.0,33.48,19.0,0.9922572960095295,1.1755531587098773,1.0,0.0,0.0,6.0,4.0,210.0,33.52,38.0,0.9255474452554745,2.1545257003683793
32,10.0,0.0,2.0,19.0,16.0,142.0,34.16,6.0,0.0,0.09112429618835449,0.0,0.0,0.0,4.0,5.0,161.0,34.96,34.0,0.9910125823846615,1.1665464148801916,0.0,0.0,0.0,4.0,5.0,161.0,34.96,33.0,0.9073243647234679,1.7472273725451846
